altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
8000,0.5258,70,19.444444444444446,519.4444444444445,234813.4838041667,327.27272727272725,1152.7207386750001,3642.5975342130005
8500,0.4958,75,20.833333333333336,520.8333333333334,222601.61132812503,326.4,1089.8574890625,3443.9496654375002
9000,0.4671,80,22.22222222222222,522.2222222222222,210836.01689999996,325.53191489361706,1029.50778465,3253.2445994940003
9500,0.4397,75,20.833333333333336,520.8333333333334,197414.1357421875,326.4,966.5396085937499,3054.26516315625
10000,0.4135,70,19.444444444444446,519.4444444444445,184662.18248958333,327.27272727272725,906.5234413124999,2864.6140745475
10500,0.3886,65,18.055555555555557,518.0555555555555,172615.4662614583,328.15013404825737,849.6568258874998,2684.9155698044997
