altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
7500,0.5572,65,18.055555555555557,501.3888888888889,231838.07247708336,339.0581717451523,1179.098894925,3725.9525079630002
8000,0.5258,70,19.444444444444446,502.7777777777778,219986.97540416667,338.1215469613259,1115.735046525,3525.722747019
8500,0.4958,75,20.833333333333336,504.1666666666667,208583.05225312503,337.1900826446281,1054.9820494125001,3333.7432761435007
9000,0.4671,80,22.22222222222222,505.5555555555556,197593.148025,336.26373626373623,996.651153225,3149.4176441910004
