altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
8000,0.5258,70,19.444444444444446,575.0,287726.92863750004,295.6521739130435,1276.0063791750001,4032.1801581930004
8500,0.4958,75,20.833333333333336,576.3888888888889,272622.6667447917,294.93975903614455,1206.1089545625002,3811.304296417501
9000,0.4671,80,22.22222222222222,577.7777777777777,258080.84639999992,294.2307692307693,1139.0298893999998,3599.3344505039995
9500,0.4397,75,20.833333333333336,576.3888888888889,241775.28553385416,294.93975903614455,1069.63716684375,3380.0534472262502
10000,0.4135,70,19.444444444444446,575.0,226274.41040624998,295.6521739130435,1003.4778200625,3170.9899113975002
10500,0.3886,65,18.055555555555557,573.6111111111111,211622.6485114583,296.3680387409201,940.7728393874999,2972.8421724644995
