altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
8000,0.5258,70,19.444444444444446,436.11111111111114,165515.67280416668,389.8089171974522,967.792277925,3058.223598243
8500,0.4958,75,20.833333333333336,437.5,157067.696953125,388.57142857142856,915.4802908124999,2892.9177189674997
9000,0.4671,80,22.22222222222222,438.8888888888889,148916.65702500002,387.34177215189874,865.2246275250002,2734.109822979001
9500,0.4397,75,20.833333333333336,437.5,139295.41417968748,388.57142857142856,811.8932712187499,2565.5827370512498
10000,0.4135,70,19.444444444444446,436.11111111111114,130164.94998958334,389.8089171974522,761.0918731875,2405.0503192725
10500,0.3886,65,18.055555555555557,434.72222222222223,121548.81163645833,391.0543130990415,712.9828056375,2253.0256658145
