altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
6000,0.6601,52,14.444444444444445,125.55555555555556,17222.88253233333,1353.9823008849557,349.79217178499994,1105.3432628406
6500,0.6243,55,15.277777777777779,126.38888888888889,16505.753895312497,1345.0549450549452,333.01718848124995,1052.33431560075
7000,0.59,60,16.666666666666668,127.77777777777779,15943.619166666667,1330.4347826086955,318.17918249999997,1005.4462166999999
7500,0.5572,65,18.055555555555557,129.16666666666669,15386.372793750003,1316.1290322580644,303.756779025,959.8714217190001
8000,0.5258,70,19.444444444444446,130.55555555555557,14833.223304166673,1302.127659574468,289.7212551750001,915.5191663530004
